"UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "# of  Entries" "#  Absent" "#  SNA" "#  Assessed" "# Not  Achieved" "#  Scholarship" "#  Outstanding"
"260" "Decile 1-3" "All Subjects" "Photography" "Pasifika Peoples" "Female" 0 0 0 0 0 0 0
"261" "Decile 1-3" "All Subjects" "Photography" "Asian" "Male" 1 0 0 1 1 0 0
"262" "Decile 1-3" "All Subjects" "Photography" "Asian" "Female" 1 1 0 0 0 0 0
"263" "Decile 1-3" "All Subjects" "Photography" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"264" "Decile 1-3" "All Subjects" "Photography" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"265" "Decile 1-3" "All Subjects" "Physical Education" "NZ Maori" "Male" 2 1 0 1 1 0 0
"266" "Decile 1-3" "All Subjects" "Physical Education" "NZ Maori" "Female" 4 0 0 4 4 0 0
"267" "Decile 1-3" "All Subjects" "Physical Education" "NZ European" "Male" 3 0 0 3 3 0 0
"268" "Decile 1-3" "All Subjects" "Physical Education" "NZ European" "Female" 10 3 0 7 6 1 0
"269" "Decile 1-3" "All Subjects" "Physical Education" "NZ European" "Unknown" 0 0 0 0 0 0 0
"270" "Decile 1-3" "All Subjects" "Physical Education" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"271" "Decile 1-3" "All Subjects" "Physical Education" "Pasifika Peoples" "Female" 3 3 0 0 0 0 0
"272" "Decile 1-3" "All Subjects" "Physical Education" "Asian" "Male" 1 0 0 1 1 0 0
"273" "Decile 1-3" "All Subjects" "Physical Education" "Asian" "Female" 2 1 0 1 1 0 0
"274" "Decile 1-3" "All Subjects" "Physical Education" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"275" "Decile 1-3" "All Subjects" "Physical Education" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"276" "Decile 1-3" "All Subjects" "Physics" "NZ Maori" "Male" 3 1 0 2 2 0 0
"277" "Decile 1-3" "All Subjects" "Physics" "NZ Maori" "Female" 1 0 0 1 1 0 0
"278" "Decile 1-3" "All Subjects" "Physics" "NZ European" "Male" 20 3 0 17 14 2 1
"279" "Decile 1-3" "All Subjects" "Physics" "NZ European" "Female" 6 0 0 6 6 0 0
"280" "Decile 1-3" "All Subjects" "Physics" "NZ European" "Unknown" 0 0 0 0 0 0 0
"281" "Decile 1-3" "All Subjects" "Physics" "Pasifika Peoples" "Male" 1 0 0 1 1 0 0
"282" "Decile 1-3" "All Subjects" "Physics" "Pasifika Peoples" "Female" 0 0 0 0 0 0 0
"283" "Decile 1-3" "All Subjects" "Physics" "Asian" "Male" 10 2 0 8 7 1 0
"284" "Decile 1-3" "All Subjects" "Physics" "Asian" "Female" 2 0 0 2 2 0 0
"285" "Decile 1-3" "All Subjects" "Physics" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"286" "Decile 1-3" "All Subjects" "Physics" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"287" "Decile 1-3" "All Subjects" "Printmaking" "NZ Maori" "Male" 0 0 0 0 0 0 0
"288" "Decile 1-3" "All Subjects" "Printmaking" "NZ Maori" "Female" 0 0 0 0 0 0 0
"289" "Decile 1-3" "All Subjects" "Printmaking" "NZ European" "Male" 0 0 0 0 0 0 0
"290" "Decile 1-3" "All Subjects" "Printmaking" "NZ European" "Female" 0 0 0 0 0 0 0
"291" "Decile 1-3" "All Subjects" "Printmaking" "NZ European" "Unknown" 0 0 0 0 0 0 0
"292" "Decile 1-3" "All Subjects" "Printmaking" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"293" "Decile 1-3" "All Subjects" "Printmaking" "Pasifika Peoples" "Female" 0 0 0 0 0 0 0
"294" "Decile 1-3" "All Subjects" "Printmaking" "Asian" "Male" 0 0 0 0 0 0 0
"295" "Decile 1-3" "All Subjects" "Printmaking" "Asian" "Female" 0 0 0 0 0 0 0
"296" "Decile 1-3" "All Subjects" "Printmaking" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"297" "Decile 1-3" "All Subjects" "Printmaking" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"298" "Decile 1-3" "All Subjects" "Samoan" "NZ Maori" "Male" 0 0 0 0 0 0 0
"299" "Decile 1-3" "All Subjects" "Samoan" "NZ Maori" "Female" 1 0 0 1 1 0 0
"300" "Decile 1-3" "All Subjects" "Samoan" "NZ European" "Male" 0 0 0 0 0 0 0
"301" "Decile 1-3" "All Subjects" "Samoan" "NZ European" "Female" 0 0 0 0 0 0 0
"302" "Decile 1-3" "All Subjects" "Samoan" "NZ European" "Unknown" 0 0 0 0 0 0 0
"303" "Decile 1-3" "All Subjects" "Samoan" "Pasifika Peoples" "Male" 17 3 1 13 13 0 0
"304" "Decile 1-3" "All Subjects" "Samoan" "Pasifika Peoples" "Female" 50 10 2 38 30 7 1
"305" "Decile 1-3" "All Subjects" "Samoan" "Asian" "Male" 0 0 0 0 0 0 0
"306" "Decile 1-3" "All Subjects" "Samoan" "Asian" "Female" 0 0 0 0 0 0 0
"307" "Decile 1-3" "All Subjects" "Samoan" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"308" "Decile 1-3" "All Subjects" "Samoan" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"309" "Decile 1-3" "All Subjects" "Science" "NZ Maori" "Male" 1 0 0 1 1 0 0
"310" "Decile 1-3" "All Subjects" "Science" "NZ Maori" "Female" 3 0 0 3 3 0 0
"311" "Decile 1-3" "All Subjects" "Science" "NZ European" "Male" 2 0 0 2 1 1 0
"312" "Decile 1-3" "All Subjects" "Science" "NZ European" "Female" 1 0 0 1 1 0 0
"313" "Decile 1-3" "All Subjects" "Science" "NZ European" "Unknown" 0 0 0 0 0 0 0
"314" "Decile 1-3" "All Subjects" "Science" "Pasifika Peoples" "Male" 1 1 0 0 0 0 0
"315" "Decile 1-3" "All Subjects" "Science" "Pasifika Peoples" "Female" 0 0 0 0 0 0 0
"316" "Decile 1-3" "All Subjects" "Science" "Asian" "Male" 1 1 0 0 0 0 0
"317" "Decile 1-3" "All Subjects" "Science" "Asian" "Female" 2 1 0 1 1 0 0
"318" "Decile 1-3" "All Subjects" "Science" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"319" "Decile 1-3" "All Subjects" "Science" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"320" "Decile 1-3" "All Subjects" "Sculpture" "NZ Maori" "Male" 0 0 0 0 0 0 0
"321" "Decile 1-3" "All Subjects" "Sculpture" "NZ Maori" "Female" 1 0 0 1 1 0 0
"322" "Decile 1-3" "All Subjects" "Sculpture" "NZ European" "Male" 0 0 0 0 0 0 0
"323" "Decile 1-3" "All Subjects" "Sculpture" "NZ European" "Female" 0 0 0 0 0 0 0
"324" "Decile 1-3" "All Subjects" "Sculpture" "NZ European" "Unknown" 0 0 0 0 0 0 0
"325" "Decile 1-3" "All Subjects" "Sculpture" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"326" "Decile 1-3" "All Subjects" "Sculpture" "Pasifika Peoples" "Female" 0 0 0 0 0 0 0
"327" "Decile 1-3" "All Subjects" "Sculpture" "Asian" "Male" 0 0 0 0 0 0 0
"328" "Decile 1-3" "All Subjects" "Sculpture" "Asian" "Female" 0 0 0 0 0 0 0
"329" "Decile 1-3" "All Subjects" "Sculpture" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"330" "Decile 1-3" "All Subjects" "Sculpture" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"331" "Decile 1-3" "All Subjects" "Spanish" "NZ Maori" "Male" 0 0 0 0 0 0 0
"332" "Decile 1-3" "All Subjects" "Spanish" "NZ Maori" "Female" 0 0 0 0 0 0 0
"333" "Decile 1-3" "All Subjects" "Spanish" "NZ European" "Male" 0 0 0 0 0 0 0
"334" "Decile 1-3" "All Subjects" "Spanish" "NZ European" "Female" 1 0 0 1 1 0 0
"335" "Decile 1-3" "All Subjects" "Spanish" "NZ European" "Unknown" 0 0 0 0 0 0 0
"336" "Decile 1-3" "All Subjects" "Spanish" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"337" "Decile 1-3" "All Subjects" "Spanish" "Pasifika Peoples" "Female" 0 0 0 0 0 0 0
"338" "Decile 1-3" "All Subjects" "Spanish" "Asian" "Male" 0 0 0 0 0 0 0
"339" "Decile 1-3" "All Subjects" "Spanish" "Asian" "Female" 0 0 0 0 0 0 0
"340" "Decile 1-3" "All Subjects" "Spanish" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"341" "Decile 1-3" "All Subjects" "Spanish" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"342" "Decile 1-3" "All Subjects" "Statistics and Modelling" "NZ Maori" "Male" 4 0 0 4 3 1 0
"343" "Decile 1-3" "All Subjects" "Statistics and Modelling" "NZ Maori" "Female" 4 1 0 3 3 0 0
"344" "Decile 1-3" "All Subjects" "Statistics and Modelling" "NZ European" "Male" 11 1 0 10 5 4 1
"345" "Decile 1-3" "All Subjects" "Statistics and Modelling" "NZ European" "Female" 8 0 0 8 6 2 0
"346" "Decile 1-3" "All Subjects" "Statistics and Modelling" "NZ European" "Unknown" 0 0 0 0 0 0 0
"347" "Decile 1-3" "All Subjects" "Statistics and Modelling" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"348" "Decile 1-3" "All Subjects" "Statistics and Modelling" "Pasifika Peoples" "Female" 3 3 0 0 0 0 0
"349" "Decile 1-3" "All Subjects" "Statistics and Modelling" "Asian" "Male" 14 2 0 12 11 0 1
"350" "Decile 1-3" "All Subjects" "Statistics and Modelling" "Asian" "Female" 4 0 0 4 4 0 0
"351" "Decile 1-3" "All Subjects" "Statistics and Modelling" "Other/Unspecified Ethnicity" "Male" 1 0 0 1 1 0 0
"352" "Decile 1-3" "All Subjects" "Statistics and Modelling" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"353" "Decile 1-3" "All Subjects" "Te Reo Maori" "NZ Maori" "Male" 24 0 1 23 14 8 1
"354" "Decile 1-3" "All Subjects" "Te Reo Maori" "NZ Maori" "Female" 48 7 0 41 34 6 1
"355" "Decile 1-3" "All Subjects" "Te Reo Maori" "NZ European" "Male" 0 0 0 0 0 0 0
"356" "Decile 1-3" "All Subjects" "Te Reo Maori" "NZ European" "Female" 3 0 0 3 2 1 0
"357" "Decile 1-3" "All Subjects" "Te Reo Maori" "NZ European" "Unknown" 0 0 0 0 0 0 0
"358" "Decile 1-3" "All Subjects" "Te Reo Maori" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"359" "Decile 1-3" "All Subjects" "Te Reo Maori" "Pasifika Peoples" "Female" 0 0 0 0 0 0 0
"360" "Decile 1-3" "All Subjects" "Te Reo Maori" "Asian" "Male" 0 0 0 0 0 0 0
"361" "Decile 1-3" "All Subjects" "Te Reo Maori" "Asian" "Female" 0 0 0 0 0 0 0
"362" "Decile 1-3" "All Subjects" "Te Reo Maori" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"363" "Decile 1-3" "All Subjects" "Te Reo Maori" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"364" "Decile 1-3" "All Subjects" "Te Reo Rangatira" "NZ Maori" "Male" 9 2 1 6 5 1 0
"365" "Decile 1-3" "All Subjects" "Te Reo Rangatira" "NZ Maori" "Female" 9 2 0 7 6 1 0
"366" "Decile 1-3" "All Subjects" "Te Reo Rangatira" "NZ European" "Male" 0 0 0 0 0 0 0
"367" "Decile 1-3" "All Subjects" "Te Reo Rangatira" "NZ European" "Female" 0 0 0 0 0 0 0
"368" "Decile 1-3" "All Subjects" "Te Reo Rangatira" "NZ European" "Unknown" 0 0 0 0 0 0 0
"369" "Decile 1-3" "All Subjects" "Te Reo Rangatira" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"370" "Decile 1-3" "All Subjects" "Te Reo Rangatira" "Pasifika Peoples" "Female" 0 0 0 0 0 0 0
"371" "Decile 1-3" "All Subjects" "Te Reo Rangatira" "Asian" "Male" 0 0 0 0 0 0 0
"372" "Decile 1-3" "All Subjects" "Te Reo Rangatira" "Asian" "Female" 0 0 0 0 0 0 0
"373" "Decile 1-3" "All Subjects" "Te Reo Rangatira" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"374" "Decile 1-3" "All Subjects" "Te Reo Rangatira" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"375" "Decile 1-3" "All Subjects" "Technology" "NZ Maori" "Male" 1 0 0 1 1 0 0
"376" "Decile 1-3" "All Subjects" "Technology" "NZ Maori" "Female" 0 0 0 0 0 0 0
"377" "Decile 1-3" "All Subjects" "Technology" "NZ European" "Male" 2 1 0 1 1 0 0
"378" "Decile 1-3" "All Subjects" "Technology" "NZ European" "Female" 0 0 0 0 0 0 0
"379" "Decile 1-3" "All Subjects" "Technology" "NZ European" "Unknown" 0 0 0 0 0 0 0
"380" "Decile 1-3" "All Subjects" "Technology" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"381" "Decile 1-3" "All Subjects" "Technology" "Pasifika Peoples" "Female" 1 1 0 0 0 0 0
"382" "Decile 1-3" "All Subjects" "Technology" "Asian" "Male" 2 0 0 2 2 0 0
"383" "Decile 1-3" "All Subjects" "Technology" "Asian" "Female" 0 0 0 0 0 0 0
"384" "Decile 1-3" "All Subjects" "Technology" "Other/Unspecified Ethnicity" "Male" 1 0 0 1 1 0 0
"385" "Decile 1-3" "All Subjects" "Technology" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"386" "Decile 4-7" "All Subjects" "Accounting" "NZ Maori" "Male" 2 1 0 1 1 0 0
"387" "Decile 4-7" "All Subjects" "Accounting" "NZ Maori" "Female" 7 2 0 5 4 1 0
"388" "Decile 4-7" "All Subjects" "Accounting" "NZ European" "Male" 51 13 0 38 30 8 0
"389" "Decile 4-7" "All Subjects" "Accounting" "NZ European" "Female" 44 12 0 32 27 3 2
"390" "Decile 4-7" "All Subjects" "Accounting" "NZ European" "Unknown" 0 0 0 0 0 0 0
"391" "Decile 4-7" "All Subjects" "Accounting" "Pasifika Peoples" "Male" 3 0 0 3 3 0 0
"392" "Decile 4-7" "All Subjects" "Accounting" "Pasifika Peoples" "Female" 4 2 0 2 2 0 0
"393" "Decile 4-7" "All Subjects" "Accounting" "Asian" "Male" 29 4 0 25 16 9 0
"394" "Decile 4-7" "All Subjects" "Accounting" "Asian" "Female" 15 7 0 8 6 2 0
"395" "Decile 4-7" "All Subjects" "Accounting" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"396" "Decile 4-7" "All Subjects" "Accounting" "Other/Unspecified Ethnicity" "Female" 1 0 0 1 1 0 0
"397" "Decile 4-7" "All Subjects" "Agricultural & Horticultural Science" "NZ Maori" "Male" 0 0 0 0 0 0 0
"398" "Decile 4-7" "All Subjects" "Agricultural & Horticultural Science" "NZ Maori" "Female" 0 0 0 0 0 0 0
"399" "Decile 4-7" "All Subjects" "Agricultural & Horticultural Science" "NZ European" "Male" 10 1 0 9 9 0 0
"400" "Decile 4-7" "All Subjects" "Agricultural & Horticultural Science" "NZ European" "Female" 5 2 0 3 1 2 0
"401" "Decile 4-7" "All Subjects" "Agricultural & Horticultural Science" "NZ European" "Unknown" 0 0 0 0 0 0 0
"402" "Decile 4-7" "All Subjects" "Agricultural & Horticultural Science" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"403" "Decile 4-7" "All Subjects" "Agricultural & Horticultural Science" "Pasifika Peoples" "Female" 0 0 0 0 0 0 0
"404" "Decile 4-7" "All Subjects" "Agricultural & Horticultural Science" "Asian" "Male" 0 0 0 0 0 0 0
"405" "Decile 4-7" "All Subjects" "Agricultural & Horticultural Science" "Asian" "Female" 0 0 0 0 0 0 0
"406" "Decile 4-7" "All Subjects" "Agricultural & Horticultural Science" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"407" "Decile 4-7" "All Subjects" "Agricultural & Horticultural Science" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"408" "Decile 4-7" "All Subjects" "Art History" "NZ Maori" "Male" 1 0 0 1 0 1 0
"409" "Decile 4-7" "All Subjects" "Art History" "NZ Maori" "Female" 4 1 1 2 2 0 0
"410" "Decile 4-7" "All Subjects" "Art History" "NZ European" "Male" 7 2 0 5 5 0 0
"411" "Decile 4-7" "All Subjects" "Art History" "NZ European" "Female" 60 17 1 42 35 7 0
"412" "Decile 4-7" "All Subjects" "Art History" "NZ European" "Unknown" 0 0 0 0 0 0 0
"413" "Decile 4-7" "All Subjects" "Art History" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"414" "Decile 4-7" "All Subjects" "Art History" "Pasifika Peoples" "Female" 0 0 0 0 0 0 0
"415" "Decile 4-7" "All Subjects" "Art History" "Asian" "Male" 3 0 0 3 1 1 1
"416" "Decile 4-7" "All Subjects" "Art History" "Asian" "Female" 7 2 0 5 4 1 0
"417" "Decile 4-7" "All Subjects" "Art History" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"418" "Decile 4-7" "All Subjects" "Art History" "Other/Unspecified Ethnicity" "Female" 5 1 0 4 4 0 0
"419" "Decile 4-7" "All Subjects" "Biology" "NZ Maori" "Male" 13 1 1 11 11 0 0
"420" "Decile 4-7" "All Subjects" "Biology" "NZ Maori" "Female" 24 11 1 12 10 2 0
"421" "Decile 4-7" "All Subjects" "Biology" "NZ European" "Male" 130 27 6 97 78 17 2
"422" "Decile 4-7" "All Subjects" "Biology" "NZ European" "Female" 190 45 4 141 104 34 3
"423" "Decile 4-7" "All Subjects" "Biology" "NZ European" "Unknown" 0 0 0 0 0 0 0
"424" "Decile 4-7" "All Subjects" "Biology" "Pasifika Peoples" "Male" 2 0 0 2 1 1 0
"425" "Decile 4-7" "All Subjects" "Biology" "Pasifika Peoples" "Female" 3 2 0 1 1 0 0
"426" "Decile 4-7" "All Subjects" "Biology" "Asian" "Male" 39 5 0 34 25 9 0
"427" "Decile 4-7" "All Subjects" "Biology" "Asian" "Female" 71 17 0 54 44 10 0
"428" "Decile 4-7" "All Subjects" "Biology" "Other/Unspecified Ethnicity" "Male" 2 0 0 2 2 0 0
"429" "Decile 4-7" "All Subjects" "Biology" "Other/Unspecified Ethnicity" "Female" 9 1 0 8 6 1 1
"430" "Decile 4-7" "All Subjects" "Chemistry" "NZ Maori" "Male" 9 3 0 6 6 0 0
"431" "Decile 4-7" "All Subjects" "Chemistry" "NZ Maori" "Female" 8 6 0 2 2 0 0
"432" "Decile 4-7" "All Subjects" "Chemistry" "NZ European" "Male" 178 30 1 147 123 23 1
"433" "Decile 4-7" "All Subjects" "Chemistry" "NZ European" "Female" 118 36 0 82 75 7 0
"434" "Decile 4-7" "All Subjects" "Chemistry" "NZ European" "Unknown" 0 0 0 0 0 0 0
"435" "Decile 4-7" "All Subjects" "Chemistry" "Pasifika Peoples" "Male" 5 1 0 4 4 0 0
"436" "Decile 4-7" "All Subjects" "Chemistry" "Pasifika Peoples" "Female" 2 1 0 1 1 0 0
"437" "Decile 4-7" "All Subjects" "Chemistry" "Asian" "Male" 74 18 0 56 41 12 3
"438" "Decile 4-7" "All Subjects" "Chemistry" "Asian" "Female" 71 21 0 50 45 5 0
"439" "Decile 4-7" "All Subjects" "Chemistry" "Other/Unspecified Ethnicity" "Male" 3 0 0 3 3 0 0
"440" "Decile 4-7" "All Subjects" "Chemistry" "Other/Unspecified Ethnicity" "Female" 3 2 0 1 0 1 0
"441" "Decile 4-7" "All Subjects" "Chinese" "NZ Maori" "Male" 0 0 0 0 0 0 0
"442" "Decile 4-7" "All Subjects" "Chinese" "NZ Maori" "Female" 0 0 0 0 0 0 0
"443" "Decile 4-7" "All Subjects" "Chinese" "NZ European" "Male" 1 0 0 1 1 0 0
"444" "Decile 4-7" "All Subjects" "Chinese" "NZ European" "Female" 1 0 0 1 1 0 0
"445" "Decile 4-7" "All Subjects" "Chinese" "NZ European" "Unknown" 0 0 0 0 0 0 0
"446" "Decile 4-7" "All Subjects" "Chinese" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"447" "Decile 4-7" "All Subjects" "Chinese" "Pasifika Peoples" "Female" 0 0 0 0 0 0 0
"448" "Decile 4-7" "All Subjects" "Chinese" "Asian" "Male" 17 3 0 14 13 1 0
"449" "Decile 4-7" "All Subjects" "Chinese" "Asian" "Female" 27 1 0 26 24 2 0
"450" "Decile 4-7" "All Subjects" "Chinese" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"451" "Decile 4-7" "All Subjects" "Chinese" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"452" "Decile 4-7" "All Subjects" "Classical Studies" "NZ Maori" "Male" 12 3 0 9 8 0 1
"453" "Decile 4-7" "All Subjects" "Classical Studies" "NZ Maori" "Female" 19 6 0 13 9 4 0
"454" "Decile 4-7" "All Subjects" "Classical Studies" "NZ European" "Male" 69 11 2 56 46 10 0
"455" "Decile 4-7" "All Subjects" "Classical Studies" "NZ European" "Female" 144 43 1 100 83 13 4
"456" "Decile 4-7" "All Subjects" "Classical Studies" "NZ European" "Unknown" 0 0 0 0 0 0 0
"457" "Decile 4-7" "All Subjects" "Classical Studies" "Pasifika Peoples" "Male" 3 0 1 2 1 1 0
"458" "Decile 4-7" "All Subjects" "Classical Studies" "Pasifika Peoples" "Female" 5 4 0 1 1 0 0
"459" "Decile 4-7" "All Subjects" "Classical Studies" "Asian" "Male" 10 1 1 8 4 2 2
"460" "Decile 4-7" "All Subjects" "Classical Studies" "Asian" "Female" 34 8 0 26 18 7 1
"461" "Decile 4-7" "All Subjects" "Classical Studies" "Other/Unspecified Ethnicity" "Male" 3 1 0 2 2 0 0
"462" "Decile 4-7" "All Subjects" "Classical Studies" "Other/Unspecified Ethnicity" "Female" 2 1 0 1 1 0 0
"463" "Decile 4-7" "All Subjects" "Dance" "NZ Maori" "Male" 3 2 0 1 0 1 0
"464" "Decile 4-7" "All Subjects" "Dance" "NZ Maori" "Female" 7 6 0 1 1 0 0
"465" "Decile 4-7" "All Subjects" "Dance" "NZ European" "Male" 3 0 0 3 2 1 0
"466" "Decile 4-7" "All Subjects" "Dance" "NZ European" "Female" 35 15 0 20 14 5 1
"467" "Decile 4-7" "All Subjects" "Dance" "NZ European" "Unknown" 0 0 0 0 0 0 0
"468" "Decile 4-7" "All Subjects" "Dance" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"469" "Decile 4-7" "All Subjects" "Dance" "Pasifika Peoples" "Female" 2 0 0 2 1 1 0
"470" "Decile 4-7" "All Subjects" "Dance" "Asian" "Male" 0 0 0 0 0 0 0
"471" "Decile 4-7" "All Subjects" "Dance" "Asian" "Female" 3 0 0 3 3 0 0
"472" "Decile 4-7" "All Subjects" "Dance" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"473" "Decile 4-7" "All Subjects" "Dance" "Other/Unspecified Ethnicity" "Female" 2 1 0 1 1 0 0
"474" "Decile 4-7" "All Subjects" "Design and Visual Communication" "NZ Maori" "Male" 10 9 0 1 1 0 0
"475" "Decile 4-7" "All Subjects" "Design and Visual Communication" "NZ Maori" "Female" 14 8 0 6 4 2 0
"476" "Decile 4-7" "All Subjects" "Design and Visual Communication" "NZ European" "Male" 54 35 0 19 17 2 0
"477" "Decile 4-7" "All Subjects" "Design and Visual Communication" "NZ European" "Female" 101 54 0 47 34 11 2
"478" "Decile 4-7" "All Subjects" "Design and Visual Communication" "NZ European" "Unknown" 0 0 0 0 0 0 0
"479" "Decile 4-7" "All Subjects" "Design and Visual Communication" "Pasifika Peoples" "Male" 3 2 0 1 1 0 0
"480" "Decile 4-7" "All Subjects" "Design and Visual Communication" "Pasifika Peoples" "Female" 5 4 0 1 1 0 0
"481" "Decile 4-7" "All Subjects" "Design and Visual Communication" "Asian" "Male" 10 8 0 2 0 2 0
"482" "Decile 4-7" "All Subjects" "Design and Visual Communication" "Asian" "Female" 22 7 0 15 9 5 1
"483" "Decile 4-7" "All Subjects" "Design and Visual Communication" "Other/Unspecified Ethnicity" "Male" 1 1 0 0 0 0 0
"484" "Decile 4-7" "All Subjects" "Design and Visual Communication" "Other/Unspecified Ethnicity" "Female" 3 1 0 2 2 0 0
"485" "Decile 4-7" "All Subjects" "Drama" "NZ Maori" "Male" 7 4 0 3 3 0 0
"486" "Decile 4-7" "All Subjects" "Drama" "NZ Maori" "Female" 8 6 0 2 2 0 0
"487" "Decile 4-7" "All Subjects" "Drama" "NZ European" "Male" 35 20 0 15 9 6 0
"488" "Decile 4-7" "All Subjects" "Drama" "NZ European" "Female" 92 37 0 55 46 9 0
"489" "Decile 4-7" "All Subjects" "Drama" "NZ European" "Unknown" 0 0 0 0 0 0 0
"490" "Decile 4-7" "All Subjects" "Drama" "Pasifika Peoples" "Male" 1 0 0 1 1 0 0
"491" "Decile 4-7" "All Subjects" "Drama" "Pasifika Peoples" "Female" 3 1 0 2 1 1 0
"492" "Decile 4-7" "All Subjects" "Drama" "Asian" "Male" 1 1 0 0 0 0 0
"493" "Decile 4-7" "All Subjects" "Drama" "Asian" "Female" 2 1 0 1 1 0 0
"494" "Decile 4-7" "All Subjects" "Drama" "Other/Unspecified Ethnicity" "Male" 3 1 0 2 1 1 0
"495" "Decile 4-7" "All Subjects" "Drama" "Other/Unspecified Ethnicity" "Female" 3 3 0 0 0 0 0
"496" "Decile 4-7" "All Subjects" "Economics" "NZ Maori" "Male" 3 1 0 2 2 0 0
"497" "Decile 4-7" "All Subjects" "Economics" "NZ Maori" "Female" 7 3 0 4 4 0 0
"498" "Decile 4-7" "All Subjects" "Economics" "NZ European" "Male" 103 16 2 85 65 18 2
"499" "Decile 4-7" "All Subjects" "Economics" "NZ European" "Female" 53 17 0 36 26 7 3
"500" "Decile 4-7" "All Subjects" "Economics" "NZ European" "Unknown" 0 0 0 0 0 0 0
"501" "Decile 4-7" "All Subjects" "Economics" "Pasifika Peoples" "Male" 3 0 0 3 3 0 0
"502" "Decile 4-7" "All Subjects" "Economics" "Pasifika Peoples" "Female" 4 1 0 3 2 1 0
"503" "Decile 4-7" "All Subjects" "Economics" "Asian" "Male" 22 2 1 19 16 1 2
"504" "Decile 4-7" "All Subjects" "Economics" "Asian" "Female" 23 6 0 17 14 3 0
"505" "Decile 4-7" "All Subjects" "Economics" "Other/Unspecified Ethnicity" "Male" 7 2 0 5 5 0 0
"506" "Decile 4-7" "All Subjects" "Economics" "Other/Unspecified Ethnicity" "Female" 1 1 0 0 0 0 0
"507" "Decile 4-7" "All Subjects" "English" "NZ Maori" "Male" 12 2 0 10 7 3 0
"508" "Decile 4-7" "All Subjects" "English" "NZ Maori" "Female" 35 15 0 20 16 4 0
"509" "Decile 4-7" "All Subjects" "English" "NZ European" "Male" 154 34 1 119 91 24 4
"510" "Decile 4-7" "All Subjects" "English" "NZ European" "Female" 316 92 3 221 173 45 3
"511" "Decile 4-7" "All Subjects" "English" "NZ European" "Unknown" 0 0 0 0 0 0 0
"512" "Decile 4-7" "All Subjects" "English" "Pasifika Peoples" "Male" 7 1 0 6 6 0 0
"513" "Decile 4-7" "All Subjects" "English" "Pasifika Peoples" "Female" 8 4 0 4 4 0 0
"514" "Decile 4-7" "All Subjects" "English" "Asian" "Male" 20 2 0 18 12 6 0
"515" "Decile 4-7" "All Subjects" "English" "Asian" "Female" 32 5 0 27 22 5 0
"516" "Decile 4-7" "All Subjects" "English" "Other/Unspecified Ethnicity" "Male" 4 1 0 3 3 0 0
