"UNKNOWN" "UNKNOWN" "UNKNOWN" "Persons Employed in Labour Force" "Persons Unemployed in Labour Force" "Not in Labour Force" "Working Age Population" "Labour Force Participation Rate" "Unemployment Rate" "Employment Rate" "Total Labour Force"
"253" "Female" "Maori Only" "2010Q2" 62 12.7 56.3 131 57 16.9 47.3 74.7
"254" "Female" "Maori Only" "2010Q3" 63.1 12.1 55.6 130.7 57.5 16.1 48.2 75.2
"255" "Female" "Maori Only" "2010Q4" 65.7 10.6 56.6 133 57.4 13.9 49.4 76.4
"256" "Female" "Maori Only" "2011Q1" 65.1 12.1 56.8 134.1 57.6 15.7 48.6 77.2
"257" "Female" "Maori Only" "2011Q2" 65.4 10.6 55.9 132 57.6 13.9 49.6 76
"258" "Female" "Maori Only" "2011Q3" 65.7 10.5 56.5 132.8 57.5 13.8 49.5 76.3
"259" "Female" "Maori Only" "2011Q4" 65.8 11.2 54.4 131.4 58.6 14.6 50.1 77
"260" "Female" "Maori Only" "2012Q1" 65.5 12.5 51.3 129.4 60.4 16.1 50.7 78.1
"261" "Female" "Maori Only" "2012Q2" 63.6 10.7 54.7 129 57.6 14.3 49.3 74.2
"262" "Female" "Maori Only" "2012Q3" 63.7 12.7 52.2 128.6 59.4 16.7 49.5 76.4
"263" "Female" "Maori Only" "2012Q4" 62.5 12.8 53.8 129.2 58.3 17 48.4 75.3
"264" "Female" "Maori Only" "2013Q1" 65.4 11.6 58.2 135.2 57 15.1 48.4 77
"265" "Female" "Pacific Peoples Only" "2007Q4" 36.9 2.8 31.4 71.2 55.9 7.1 51.9 39.8
"266" "Female" "Pacific Peoples Only" "2008Q1" 33.4 3.7 33.3 70.4 52.7 10 47.4 37.1
"267" "Female" "Pacific Peoples Only" "2008Q2" 34.9 3.2 31.7 69.8 54.6 8.3 50.1 38.1
"268" "Female" "Pacific Peoples Only" "2008Q3" 39 3.6 33.9 76.5 55.7 8.5 51 42.6
"269" "Female" "Pacific Peoples Only" "2008Q4" 37.7 4 32 73.7 56.6 9.5 51.2 41.7
"270" "Female" "Pacific Peoples Only" "2009Q1" 35.1 4.9 37.9 77.8 51.3 12.2 45 39.9
"271" "Female" "Pacific Peoples Only" "2009Q2" 31.3 5.6 39.4 76.3 48.4 15 41.1 36.9
"272" "Female" "Pacific Peoples Only" "2009Q3" 33.5 5.1 39.8 78.4 49.2 13.3 42.7 38.6
"273" "Female" "Pacific Peoples Only" "2009Q4" 34.3 5.6 36.4 76.3 52.3 14 45 39.9
"274" "Female" "Pacific Peoples Only" "2010Q1" 35.2 6.4 37.3 78.9 52.8 15.4 44.7 41.7
"275" "Female" "Pacific Peoples Only" "2010Q2" 30.5 5.3 37.4 73.3 48.9 14.9 41.7 35.9
"276" "Female" "Pacific Peoples Only" "2010Q3" 32.9 6.5 39.1 78.5 50.2 16.5 41.9 39.4
"277" "Female" "Pacific Peoples Only" "2010Q4" 36.3 6.5 38.6 81.4 52.6 15.3 44.6 42.8
"278" "Female" "Pacific Peoples Only" "2011Q1" 38.8 6.6 39.2 84.5 53.7 14.4 45.9 45.4
"279" "Female" "Pacific Peoples Only" "2011Q2" 33 5.4 38.4 76.8 50 14.1 42.9 38.4
"280" "Female" "Pacific Peoples Only" "2011Q3" 37.3 6.5 42.4 86.2 50.8 14.9 43.2 43.8
"281" "Female" "Pacific Peoples Only" "2011Q4" 37.7 7.4 38.8 83.8 53.8 16.5 44.9 45.1
"282" "Female" "Pacific Peoples Only" "2012Q1" 33.9 7.2 37.3 78.5 52.4 17.6 43.2 41.1
"283" "Female" "Pacific Peoples Only" "2012Q2" 31.8 7.4 40.8 80.1 49 18.9 39.8 39.3
"284" "Female" "Pacific Peoples Only" "2012Q3" 31.2 7.6 39.1 77.9 49.9 19.6 40.1 38.9
"285" "Female" "Pacific Peoples Only" "2012Q4" 30.3 7.4 39.7 77.4 48.7 19.7 39.1 37.7
"286" "Female" "Pacific Peoples Only" "2013Q1" 33.2 8.4 41 82.6 50.4 20.1 40.3 41.6
"287" "Female" "Asian Only" "2007Q4" 76.2 4.7 64.1 145 55.8 5.8 52.5 80.9
"288" "Female" "Asian Only" "2008Q1" 79 6.6 70.7 156.3 54.8 7.7 50.5 85.6
"289" "Female" "Asian Only" "2008Q2" 87.6 5.9 69.5 163 57.4 6.3 53.8 93.6
"290" "Female" "Asian Only" "2008Q3" 86.4 5.4 68.4 160.3 57.3 5.9 53.9 91.8
"291" "Female" "Asian Only" "2008Q4" 89.9 6.9 66.5 163.3 59.3 7.2 55 96.8
"292" "Female" "Asian Only" "2009Q1" 93.6 7.3 69.2 170.1 59.3 7.2 55.1 100.9
"293" "Female" "Asian Only" "2009Q2" 89.1 8.6 66.9 164.6 59.3 8.8 54.1 97.7
"294" "Female" "Asian Only" "2009Q3" 89.7 8.3 76.2 174.3 56.2 8.5 51.5 98
"295" "Female" "Asian Only" "2009Q4" 92.4 9.6 75.1 177.1 57.6 9.4 52.2 102
"296" "Female" "Asian Only" "2010Q1" 91.1 11.4 73 175.6 58.4 11.2 51.9 102.6
"297" "Female" "Asian Only" "2010Q2" 90.4 10.4 76.8 177.6 56.7 10.3 50.9 100.8
"298" "Female" "Asian Only" "2010Q3" 91.5 7.2 75.7 174.4 56.6 7.3 52.4 98.7
"299" "Female" "Asian Only" "2010Q4" 95.3 12.1 70.2 177.5 60.5 11.2 53.7 107.3
"300" "Female" "Asian Only" "2011Q1" 99.2 9.5 71.2 180 60.4 8.8 55.1 108.8
"301" "Female" "Asian Only" "2011Q2" 102.2 5.8 68.9 176.9 61.1 5.4 57.8 108
"302" "Female" "Asian Only" "2011Q3" 100.1 9.4 77.2 186.7 58.7 8.6 53.6 109.5
"303" "Female" "Asian Only" "2011Q4" 101 7.2 74.7 182.9 59.1 6.6 55.2 108.2
"304" "Female" "Asian Only" "2012Q1" 100.6 11.5 74.8 186.9 60 10.2 53.8 112.1
"305" "Female" "Asian Only" "2012Q2" 100.9 9.8 68.8 179.5 61.7 8.9 56.2 110.7
"306" "Female" "Asian Only" "2012Q3" 109.4 10.2 76.6 196.2 61 8.5 55.8 119.6
"307" "Female" "Asian Only" "2012Q4" 110.1 10.5 75.2 195.8 61.6 8.7 56.2 120.6
"308" "Female" "Asian Only" "2013Q1" 116.6 11.7 79.9 208.2 61.6 9.1 56 128.3
"309" "Female" "MELAA Only" "2007Q4" 4.3 NA 8.2 13.2 37.9 NA 32.9 5
"310" "Female" "MELAA Only" "2008Q1" 5 1.2 7.4 13.6 45.4 19 36.8 6.2
"311" "Female" "MELAA Only" "2008Q2" 6.6 1 8.9 16.5 45.8 13.4 39.7 7.6
"312" "Female" "MELAA Only" "2008Q3" 6.8 NA 9.5 17.2 44.7 NA 39.6 7.7
"313" "Female" "MELAA Only" "2008Q4" 4.2 NA 6.4 11.5 43.9 NA 36.4 5
"314" "Female" "MELAA Only" "2009Q1" 4.3 NA 7 12 41.9 NA 35.6 5
"315" "Female" "MELAA Only" "2009Q2" 6.6 1.4 6.1 14.1 56.6 17.3 46.8 8
"316" "Female" "MELAA Only" "2009Q3" 6.2 NA 7 13.6 48.7 NA 45.9 6.6
"317" "Female" "MELAA Only" "2009Q4" 5.3 1.4 7.1 13.9 48.5 21.1 38.3 6.7
"318" "Female" "MELAA Only" "2010Q1" 5.1 1.4 6.2 12.7 51 21.9 39.8 6.5
"319" "Female" "MELAA Only" "2010Q2" 7.6 NA 7.2 15.6 53.8 NA 48.4 8.4
"320" "Female" "MELAA Only" "2010Q3" 8.7 1.2 6.9 16.8 59 12.3 51.8 9.9
"321" "Female" "MELAA Only" "2010Q4" 7.8 NA 7.7 15.6 50.5 NA 49.6 7.9
"322" "Female" "MELAA Only" "2011Q1" 9.1 NA 6.1 15.9 61.7 NA 57 9.8
"323" "Female" "MELAA Only" "2011Q2" 10.1 1.7 6.6 18.5 64.1 14.8 54.6 11.8
"324" "Female" "MELAA Only" "2011Q3" 6.8 2 5.6 14.3 61.3 22.2 47.6 8.8
"325" "Female" "MELAA Only" "2011Q4" 6.3 NA 6.7 13.4 49.8 NA 46.7 6.7
"326" "Female" "MELAA Only" "2012Q1" 6.2 2 5.4 13.6 60.2 24.3 45.6 8.2
"327" "Female" "MELAA Only" "2012Q2" 4.2 NA 7.1 11.9 40.3 NA 35.3 4.8
"328" "Female" "MELAA Only" "2012Q3" 4.5 NA 6.5 11.7 44.3 NA 38.4 5.2
"329" "Female" "MELAA Only" "2012Q4" 3.9 NA 6 10 40.4 NA 38.9 4.1
"330" "Female" "MELAA Only" "2013Q1" 4.7 NA 6.6 11.8 43.9 NA 39.9 5.2
"331" "Female" "Other Ethnicity Only" "2007Q4" 5.7 NA 1.9 7.6 74.6 NA 74.6 5.7
"332" "Female" "Other Ethnicity Only" "2008Q1" 6.6 NA 4.2 10.9 61.4 NA 60.4 6.7
"333" "Female" "Other Ethnicity Only" "2008Q2" 8.8 1.1 6.6 16.6 60 11.4 53.2 9.9
"334" "Female" "Other Ethnicity Only" "2008Q3" 11.4 NA 6.9 19 63.7 NA 59.8 12.1
"335" "Female" "Other Ethnicity Only" "2008Q4" 12.6 NA 7.6 20.9 63.5 NA 60 13.3
"336" "Female" "Other Ethnicity Only" "2009Q1" 14.6 NA 7.6 22.7 66.5 NA 64.5 15.1
"337" "Female" "Other Ethnicity Only" "2009Q2" 16.1 NA 7.8 24.5 68 NA 65.9 16.6
"338" "Female" "Other Ethnicity Only" "2009Q3" 17.4 NA 9.5 27.6 65.5 NA 62.8 18.1
"339" "Female" "Other Ethnicity Only" "2009Q4" 16 NA 10.8 27.3 60.6 NA 58.6 16.5
"340" "Female" "Other Ethnicity Only" "2010Q1" 17.5 1.4 10.7 29.6 63.8 7.3 59.1 18.9
"341" "Female" "Other Ethnicity Only" "2010Q2" 18.3 NA 12.3 31.3 60.8 NA 58.5 19
"342" "Female" "Other Ethnicity Only" "2010Q3" 21.7 NA 12.4 34.5 64.2 NA 62.9 22.2
"343" "Female" "Other Ethnicity Only" "2010Q4" 21.7 NA 12 34.6 65.4 NA 62.8 22.6
"344" "Female" "Other Ethnicity Only" "2011Q1" 22.9 NA 11.9 35.7 66.7 NA 64 23.8
"345" "Female" "Other Ethnicity Only" "2011Q2" 19.9 1.2 13.8 34.9 60.4 5.5 57.1 21.1
"346" "Female" "Other Ethnicity Only" "2011Q3" 20.7 1.1 14.1 36 60.7 5.2 57.6 21.9
"347" "Female" "Other Ethnicity Only" "2011Q4" 19.3 1.1 14.7 35.1 58.3 5.5 55 20.5
"348" "Female" "Other Ethnicity Only" "2012Q1" 20.5 1.6 14.1 36.2 61.2 7.4 56.7 22.2
"349" "Female" "Other Ethnicity Only" "2012Q2" 21.1 2.3 13.3 36.7 63.8 9.8 57.5 23.4
"350" "Female" "Other Ethnicity Only" "2012Q3" 18.9 1.3 12.3 32.5 62.2 6.6 58.1 20.2
"351" "Female" "Other Ethnicity Only" "2012Q4" 19.7 1 11.5 32.2 64.2 4.9 61 20.7
"352" "Female" "Other Ethnicity Only" "2013Q1" 20.7 NA 11.9 33.1 64 NA 62.6 21.2
"353" "Female" "European/Maori" "2007Q4" 54.1 2.4 28.2 84.7 66.7 4.2 63.9 56.5
"354" "Female" "European/Maori" "2008Q1" 55.3 4.2 27.2 86.7 68.7 7.1 63.8 59.5
"355" "Female" "European/Maori" "2008Q2" 59.8 3.8 34.3 97.8 65 5.9 61.1 63.5
"356" "Female" "European/Maori" "2008Q3" 57.2 3.5 31.5 92.2 65.9 5.7 62.1 60.7
"357" "Female" "European/Maori" "2008Q4" 60.3 4.9 25.6 90.8 71.7 7.5 66.4 65.1
"358" "Female" "European/Maori" "2009Q1" 51.6 6.9 26.2 84.7 69 11.8 60.9 58.5
"359" "Female" "European/Maori" "2009Q2" 51.9 5.1 31.1 88.1 64.7 8.9 58.9 57
"360" "Female" "European/Maori" "2009Q3" 50 6.4 30 86.4 65.3 11.4 57.9 56.4
"361" "Female" "European/Maori" "2009Q4" 46.4 7.2 29.4 83 64.5 13.5 55.8 53.6
"362" "Female" "European/Maori" "2010Q1" 45.4 8.2 28.1 81.7 65.6 15.3 55.6 53.6
"363" "Female" "European/Maori" "2010Q2" 47.9 6.7 28.5 83.1 65.7 12.2 57.7 54.6
"364" "Female" "European/Maori" "2010Q3" 49.7 5.4 29.5 84.6 65.1 9.8 58.8 55.1
"365" "Female" "European/Maori" "2010Q4" 49.8 6.3 28 84.1 66.7 11.3 59.2 56.1
"366" "Female" "European/Maori" "2011Q1" 46.6 8.5 28.4 83.5 66 15.5 55.8 55.1
"367" "Female" "European/Maori" "2011Q2" 48.8 8 29.5 86.4 65.8 14.1 56.5 56.9
"368" "Female" "European/Maori" "2011Q3" 49.3 5.3 32.4 87.1 62.8 9.8 56.7 54.7
"369" "Female" "European/Maori" "2011Q4" 49 6.2 33.8 89 62 11.2 55 55.2
"370" "Female" "European/Maori" "2012Q1" 50.2 7 30.5 87.7 65.2 12.2 57.3 57.2
"371" "Female" "European/Maori" "2012Q2" 49.1 5.1 35.7 89.8 60.3 9.4 54.6 54.2
"372" "Female" "European/Maori" "2012Q3" 50.8 7.2 31.5 89.5 64.8 12.4 56.8 58
"373" "Female" "European/Maori" "2012Q4" 50.3 7.2 33.1 90.6 63.4 12.4 55.5 57.5
"374" "Female" "European/Maori" "2013Q1" 50.9 6.9 30.5 88.3 65.5 11.9 57.7 57.8
"375" "Female" "Two or More Groups Not Elsewhere Included" "2007Q4" 21.5 1.8 13 36.3 64.1 7.7 59.2 23.3
"376" "Female" "Two or More Groups Not Elsewhere Included" "2008Q1" 15.6 NA 9.2 25.3 63.8 NA 61.7 16.2
"377" "Female" "Two or More Groups Not Elsewhere Included" "2008Q2" 17.5 NA 10.4 28.6 63.6 NA 61.2 18.2
"378" "Female" "Two or More Groups Not Elsewhere Included" "2008Q3" 16.4 1.1 8.8 26.4 66.5 6.5 62.2 17.6
"379" "Female" "Two or More Groups Not Elsewhere Included" "2008Q4" 16.4 1.1 10.1 27.6 63.3 6.4 59.3 17.5
"380" "Female" "Two or More Groups Not Elsewhere Included" "2009Q1" 17.7 2.2 10.1 30 66.4 11.1 59 19.9
"381" "Female" "Two or More Groups Not Elsewhere Included" "2009Q2" 16.5 3 10.1 29.6 65.9 15.2 55.9 19.5
"382" "Female" "Two or More Groups Not Elsewhere Included" "2009Q3" 17.8 2.7 9.2 29.6 69 13.2 59.9 20.4
"383" "Female" "Two or More Groups Not Elsewhere Included" "2009Q4" 20.2 2.8 8.9 31.9 72.3 12.3 63.4 23.1
"384" "Female" "Two or More Groups Not Elsewhere Included" "2010Q1" 18 2 13.1 33.1 60.4 9.8 54.4 20
"385" "Female" "Two or More Groups Not Elsewhere Included" "2010Q2" 16.5 3.7 12.5 32.7 61.9 18.5 50.4 20.2
"386" "Female" "Two or More Groups Not Elsewhere Included" "2010Q3" 16.2 2.9 12.2 31.3 61 15.3 51.7 19.1
"387" "Female" "Two or More Groups Not Elsewhere Included" "2010Q4" 16.7 2.7 11.6 30.9 62.6 13.8 54 19.4
"388" "Female" "Two or More Groups Not Elsewhere Included" "2011Q1" 18.6 1.5 11.5 31.6 63.7 7.6 58.9 20.1
"389" "Female" "Two or More Groups Not Elsewhere Included" "2011Q2" 18.2 3 11.7 33 64.4 14.2 55.2 21.2
"390" "Female" "Two or More Groups Not Elsewhere Included" "2011Q3" 17.2 3.4 9.8 30.5 67.8 16.7 56.4 20.6
"391" "Female" "Two or More Groups Not Elsewhere Included" "2011Q4" 19.2 2.2 11 32.4 66.2 10.4 59.3 21.4
"392" "Female" "Two or More Groups Not Elsewhere Included" "2012Q1" 22.3 4.5 12.9 39.6 67.5 16.8 56.2 26.8
"393" "Female" "Two or More Groups Not Elsewhere Included" "2012Q2" 20.6 3.6 15.2 39.3 61.4 14.8 52.3 24.2
"394" "Female" "Two or More Groups Not Elsewhere Included" "2012Q3" 24 2.2 17.4 43.6 60.2 8.5 55.1 26.3
"395" "Female" "Two or More Groups Not Elsewhere Included" "2012Q4" 20.7 5.5 15.1 41.3 63.4 21.1 50 26.2
"396" "Female" "Two or More Groups Not Elsewhere Included" "2013Q1" 18 3.1 12.1 33.2 63.5 14.5 54.3 21.1
"397" "Female" "Residual Categories" "2007Q4" 5.8 NA 4 10.1 60 NA 57.5 6.1
"398" "Female" "Residual Categories" "2008Q1" 5.6 NA 2.7 8.6 69 NA 65.1 6
"399" "Female" "Residual Categories" "2008Q2" 2.8 NA 3.3 6.1 45.9 NA 45.9 2.8
"400" "Female" "Residual Categories" "2008Q3" 3.3 NA NA 3.9 86.4 NA 85 3.4
"401" "Female" "Residual Categories" "2008Q4" 2.3 NA NA 3.1 75.7 NA 74.5 2.4
"402" "Female" "Residual Categories" "2009Q1" NA NA NA 1.7 63.3 NA NA 1.1
"403" "Female" "Residual Categories" "2009Q2" 1.8 NA 1 3.1 67.3 NA 58 2.1
"404" "Female" "Residual Categories" "2009Q3" 1.5 NA NA 2.3 67.4 NA 65 1.6
"405" "Female" "Residual Categories" "2009Q4" NA NA NA 1.4 NA NA NA NA
"406" "Female" "Residual Categories" "2010Q1" 1.4 NA NA 2.2 NA NA 63.3 1.5
"407" "Female" "Residual Categories" "2010Q2" 1.8 NA NA 2.8 NA NA 65.6 2.1
"408" "Female" "Residual Categories" "2010Q3" 1.5 NA 2 3.6 44.9 NA 41.8 1.6
"409" "Female" "Residual Categories" "2010Q4" 2.4 NA 1.2 3.7 69 NA 64.8 2.6
"410" "Female" "Residual Categories" "2011Q1" 5.6 NA 3.6 9.7 62.5 NA 58 6.1
"411" "Female" "Residual Categories" "2011Q2" 3.9 NA 2.2 6.5 66.6 NA 60.5 4.3
"412" "Female" "Residual Categories" "2011Q3" 2.7 NA 1 4 74.7 12.1 65.7 3
"413" "Female" "Residual Categories" "2011Q4" 1.5 NA 2.1 3.9 46.6 NA 37.5 1.8
"414" "Female" "Residual Categories" "2012Q1" 4 1.1 2.6 7.8 66.3 22.1 51.6 5.2
"415" "Female" "Residual Categories" "2012Q2" 2.4 NA 1.5 4.4 65 NA 55.1 2.8
"416" "Female" "Residual Categories" "2012Q3" 1 NA NA 1.7 67.8 NA 58.9 1.2
"417" "Female" "Residual Categories" "2012Q4" 2.2 NA 1.2 3.5 66.6 NA 62 2.3
"418" "Female" "Residual Categories" "2013Q1" 1.7 NA 1 2.7 62.7 NA 62.7 1.7
"419" "Female" "Total All Ethnic Groups" "2007Q4" 1030.6 35.7 641.7 1708 62.4 3.3 60.3 1066.3
"420" "Female" "Total All Ethnic Groups" "2008Q1" 998.6 48.6 666.1 1713.3 61.1 4.6 58.3 1047.1
"421" "Female" "Total All Ethnic Groups" "2008Q2" 1021.6 40.8 654.4 1716.8 61.9 3.8 59.5 1062.4
"422" "Female" "Total All Ethnic Groups" "2008Q3" 1028.9 42.4 649.2 1720.5 62.3 4 59.8 1071.3
"423" "Female" "Total All Ethnic Groups" "2008Q4" 1043.9 49 633 1725.8 63.3 4.5 60.5 1092.8
"424" "Female" "Total All Ethnic Groups" "2009Q1" 1018.6 60.6 651.8 1731.1 62.3 5.6 58.8 1079.3
"425" "Female" "Total All Ethnic Groups" "2009Q2" 1010.1 65.3 660.8 1736.2 61.9 6.1 58.2 1075.4
"426" "Female" "Total All Ethnic Groups" "2009Q3" 1013.9 65.9 662 1741.8 62 6.1 58.2 1079.7
"427" "Female" "Total All Ethnic Groups" "2009Q4" 1020.9 74 653.8 1748.7 62.6 6.8 58.4 1095
"428" "Female" "Total All Ethnic Groups" "2010Q1" 1014 76.9 664.1 1755 62.2 7.1 57.8 1090.9
"429" "Female" "Total All Ethnic Groups" "2010Q2" 1014.7 72.6 672.1 1759.4 61.8 6.7 57.7 1087.3
"430" "Female" "Total All Ethnic Groups" "2010Q3" 1016.5 74.7 672.3 1763.5 61.9 6.8 57.6 1091.2
"431" "Female" "Total All Ethnic Groups" "2010Q4" 1030.2 75.5 664 1769.7 62.5 6.8 58.2 1105.7
"432" "Female" "Total All Ethnic Groups" "2011Q1" 1033.7 83.8 658.7 1776.2 62.9 7.5 58.2 1117.5
"433" "Female" "Total All Ethnic Groups" "2011Q2" 1036.4 72.6 668.8 1777.8 62.4 6.5 58.3 1108.9
"434" "Female" "Total All Ethnic Groups" "2011Q3" 1030.8 74.7 674.8 1780.3 62.1 6.8 57.9 1105.5
"435" "Female" "Total All Ethnic Groups" "2011Q4" 1049.7 68.8 666.1 1784.6 62.7 6.1 58.8 1118.4
"436" "Female" "Total All Ethnic Groups" "2012Q1" 1041.1 86.5 660.6 1788.2 63.1 7.7 58.2 1127.6
"437" "Female" "Total All Ethnic Groups" "2012Q2" 1044.2 79 666.7 1789.9 62.8 7 58.3 1123.2
"438" "Female" "Total All Ethnic Groups" "2012Q3" 1042.7 82.2 668 1792.9 62.7 7.3 58.2 1124.9
"439" "Female" "Total All Ethnic Groups" "2012Q4" 1031.6 80.9 684.3 1796.8 61.9 7.3 57.4 1112.5
"440" "Female" "Total All Ethnic Groups" "2013Q1" 1050.6 84.2 666.3 1801.1 63 7.4 58.3 1134.8
"441" "Total Both Sexes" "European Only" "2007Q4" 1619.1 36.6 721.7 2377.4 69.6 2.2 68.1 1655.7
"442" "Total Both Sexes" "European Only" "2008Q1" 1600.5 49.9 740 2390.5 69 3 67 1650.5
"443" "Total Both Sexes" "European Only" "2008Q2" 1594.7 45.7 723.2 2363.6 69.4 2.8 67.5 1640.4
"444" "Total Both Sexes" "European Only" "2008Q3" 1585.9 51.3 725.1 2362.3 69.3 3.1 67.1 1637.2
"445" "Total Both Sexes" "European Only" "2008Q4" 1609.6 53.1 711.7 2374.3 70 3.2 67.8 1662.6
"446" "Total Both Sexes" "European Only" "2009Q1" 1580.5 65 720.8 2366.2 69.5 3.9 66.8 1645.5
"447" "Total Both Sexes" "European Only" "2009Q2" 1566.6 66 726.7 2359.3 69.2 4 66.4 1632.6
"448" "Total Both Sexes" "European Only" "2009Q3" 1550 73.8 726.7 2350.6 69.1 4.5 65.9 1623.8
"449" "Total Both Sexes" "European Only" "2009Q4" 1571.2 75.6 709.3 2356.1 69.9 4.6 66.7 1646.8
"450" "Total Both Sexes" "European Only" "2010Q1" 1556.4 71 725.3 2352.7 69.2 4.4 66.2 1627.4
"451" "Total Both Sexes" "European Only" "2010Q2" 1565 71.8 730.5 2367.3 69.1 4.4 66.1 1636.8
"452" "Total Both Sexes" "European Only" "2010Q3" 1568.1 69.8 726.1 2364 69.3 4.3 66.3 1637.9
"453" "Total Both Sexes" "European Only" "2010Q4" 1572.7 75.7 715.3 2363.7 69.7 4.6 66.5 1648.4
"454" "Total Both Sexes" "European Only" "2011Q1" 1557.3 80.2 711.3 2348.7 69.7 4.9 66.3 1637.5
"455" "Total Both Sexes" "European Only" "2011Q2" 1573.4 77.4 720.7 2371.6 69.6 4.7 66.3 1650.8
"456" "Total Both Sexes" "European Only" "2011Q3" 1561.4 70.7 716 2348 69.5 4.3 66.5 1632
"457" "Total Both Sexes" "European Only" "2011Q4" 1591.8 67.4 707.5 2366.7 70.1 4.1 67.3 1659.2
"458" "Total Both Sexes" "European Only" "2012Q1" 1580.9 82.2 714.4 2377.5 70 4.9 66.5 1663.1
"459" "Total Both Sexes" "European Only" "2012Q2" 1587.6 77.3 726.1 2391 69.6 4.6 66.4 1664.9
"460" "Total Both Sexes" "European Only" "2012Q3" 1572.1 78 730.3 2380.5 69.3 4.7 66 1650.2
"461" "Total Both Sexes" "European Only" "2012Q4" 1565.3 77.2 746.9 2389.4 68.7 4.7 65.5 1642.5
"462" "Total Both Sexes" "European Only" "2013Q1" 1571.2 77.4 719.8 2368.4 69.6 4.7 66.3 1648.6
"463" "Total Both Sexes" "Maori Only" "2007Q4" 133.8 12.6 77.3 223.7 65.5 8.6 59.8 146.4
"464" "Total Both Sexes" "Maori Only" "2008Q1" 129.7 14.8 86.3 230.8 62.6 10.2 56.2 144.5
"465" "Total Both Sexes" "Maori Only" "2008Q2" 126.2 11.1 74.5 211.8 64.8 8.1 59.6 137.3
"466" "Total Both Sexes" "Maori Only" "2008Q3" 133.7 14.2 81.2 229.1 64.6 9.6 58.3 147.9
"467" "Total Both Sexes" "Maori Only" "2008Q4" 141.7 15.3 75.4 232.4 67.6 9.8 61 157.1
"468" "Total Both Sexes" "Maori Only" "2009Q1" 140.8 16.8 87.6 245.2 64.3 10.7 57.4 157.6
"469" "Total Both Sexes" "Maori Only" "2009Q2" 135.9 19.6 84.5 240.1 64.8 12.6 56.6 155.6
"470" "Total Both Sexes" "Maori Only" "2009Q3" 132 21.8 89.1 242.9 63.3 14.2 54.3 153.8
"471" "Total Both Sexes" "Maori Only" "2009Q4" 137.1 24.9 86.3 248.4 65.2 15.4 55.2 162
"472" "Total Both Sexes" "Maori Only" "2010Q1" 138.1 22.8 88.1 249 64.6 14.2 55.5 160.9
"473" "Total Both Sexes" "Maori Only" "2010Q2" 133.9 26.4 90 250.3 64 16.4 53.5 160.3
"474" "Total Both Sexes" "Maori Only" "2010Q3" 132.8 25.6 89.6 248 63.9 16.2 53.5 158.4
"475" "Total Both Sexes" "Maori Only" "2010Q4" 136.4 25 93 254.5 63.4 15.5 53.6 161.4
"476" "Total Both Sexes" "Maori Only" "2011Q1" 135.8 26 92.1 253.9 63.7 16.1 53.5 161.8
"477" "Total Both Sexes" "Maori Only" "2011Q2" 132.6 21 93.1 246.7 62.3 13.7 53.7 153.6
"478" "Total Both Sexes" "Maori Only" "2011Q3" 135.3 23.9 91.4 250.6 63.5 15 54 159.2
"479" "Total Both Sexes" "Maori Only" "2011Q4" 135 23.9 90.5 249.4 63.7 15 54.1 158.9
"480" "Total Both Sexes" "Maori Only" "2012Q1" 137 23.8 85.9 246.7 65.2 14.8 55.5 160.8
"481" "Total Both Sexes" "Maori Only" "2012Q2" 129.8 21.2 87.7 238.7 63.3 14 54.4 151
"482" "Total Both Sexes" "Maori Only" "2012Q3" 130.8 25.9 85.2 241.8 64.8 16.5 54.1 156.6
"483" "Total Both Sexes" "Maori Only" "2012Q4" 125.5 25.1 89.2 239.9 62.8 16.7 52.3 150.7
"484" "Total Both Sexes" "Maori Only" "2013Q1" 135.4 23.8 96.4 255.6 62.3 15 53 159.2
"485" "Total Both Sexes" "Pacific Peoples Only" "2007Q4" 79.7 4.4 50.3 134.4 62.6 5.2 59.3 84.1
"486" "Total Both Sexes" "Pacific Peoples Only" "2008Q1" 74.5 7.1 51.4 133 61.3 8.7 56 81.6
"487" "Total Both Sexes" "Pacific Peoples Only" "2008Q2" 77.1 5.5 49.7 132.3 62.4 6.7 58.3 82.6
"488" "Total Both Sexes" "Pacific Peoples Only" "2008Q3" 84.2 7 53.2 144.5 63.2 7.7 58.3 91.2
"489" "Total Both Sexes" "Pacific Peoples Only" "2008Q4" 85.4 7.2 49.5 142.1 65.2 7.8 60.1 92.7
"490" "Total Both Sexes" "Pacific Peoples Only" "2009Q1" 77 12.2 56.3 145.4 61.3 13.6 52.9 89.1
"491" "Total Both Sexes" "Pacific Peoples Only" "2009Q2" 73.7 10.8 58.3 142.8 59.2 12.8 51.6 84.5
"492" "Total Both Sexes" "Pacific Peoples Only" "2009Q3" 73.1 10.2 61 144.3 57.7 12.3 50.6 83.3
"493" "Total Both Sexes" "Pacific Peoples Only" "2009Q4" 75.2 12.2 56.7 144.2 60.7 14 52.2 87.5
"494" "Total Both Sexes" "Pacific Peoples Only" "2010Q1" 78.9 13.3 59.1 151.3 61 14.4 52.2 92.2
"495" "Total Both Sexes" "Pacific Peoples Only" "2010Q2" 69.6 11.5 59.2 140.3 57.8 14.1 49.6 81.1
"496" "Total Both Sexes" "Pacific Peoples Only" "2010Q3" 74.7 11.7 60 146.4 59 13.5 51 86.4
